# 200 TEMPLATES ACROSS 9 CATEGORIES. ONE PER LINE.|SOUNDS LIKE QUITE AN EXTENSIVE COLLECTION THERE. HOPE IT'S REALLY USEFUL!
WHAT IS YOUR PERSPECTIVE ON THE IMPACT OF DOGS IN MODERN SOCIETY?|THEY BRING JOY AND COMPANIONSHIP!
SUGGEST A TRAVEL ITINERARY FOCUSING ON EGYPT FOR A {DURATION} TRIP.|GIVE ME THE TIME YOU HAVE!
WHAT IS YOUR PERSPECTIVE ON THE IMPACT OF SPORTS IN MODERN SOCIETY?|IT BRINGS PEOPLE TOGETHER AND BUILDS COMMUNITY.
WHAT IS YOUR PERSPECTIVE ON THE IMPACT OF DESERTS IN MODERN SOCIETY?|THEY SHAPE LIFE AND RESOURCE USE GREATLY.
SUGGEST A TRAVEL ITINERARY FOCUSING ON VIETNAM FOR A {DURATION} TRIP.|NEED THE LENGTH OF TIME FOR THAT!
SUGGEST A TRAVEL ITINERARY FOCUSING ON SENEGAL FOR A {DURATION} TRIP.|NEED THE TRIP LENGTH TO HELP OUT!
RECOMMEND A ACTION BOOK SET IN BANGLADESH.|TRY "CITY OF SHADOWS.
WHAT IS THE BEST WAY TO LEARN {SKILL}?|PRACTICE MAKES PERFECT! KEEP AT IT.
CREATE A SHORT PIECE OF WRITING IN THE HEARTWARMING STYLE ABOUT SUNSETS.|GOLDEN SKIES PAINT THE DAY'S SWEET END. SO PEACEFUL.
HOW CAN I COOK A DELICIOUS {DISH}?|CHOP YOUR INGREDIENTS AND FOLLOW THE RECIPE!
WHAT ARE SOME UNIQUE TRADITIONS FOR CELEBRATION?|HARVEST MOON FESTIVALS OR LANTERN PARADES.
WHAT ARE SOME UNIQUE TRADITIONS FOR GIRLS NIGHT?|DIY SPA NIGHT IS FUN!
WHAT ARE SOME UNIQUE TRADITIONS FOR SOLO EVENING?|TRY A MOVIE MARATHON OR A NICE BATH.
WHAT ARE SOME UNIQUE TRADITIONS FOR NEW YEAR?|THERE ARE SO MANY FUN ONES! SOME INVOLVE SPECIAL FOODS OR RITUALS.
COMPARE THE HISTORY OF NIGERIA AND {OTHER_COUNTRY}.|DEPENDS ON WHICH COUNTRY YOU MEAN!
COMPARE THE HISTORY OF TURKEY AND {OTHER_COUNTRY}.|CAN'T DO THAT WITHOUT ANOTHER COUNTRY.
HOW DO I FIX A LEAKY {APPLIANCE}?|TRY TIGHTENING THE CONNECTION FIRST.
SUGGEST A RELAXING ACTIVITY FOR A RAINY DAY IN {SEASON}.|BINGE SOME COZY MOVIES INDOORS.
WHICH FAMOUS LANDMARK IN SENEGAL|GORE ISLAND IS REALLY ICONIC.
WHICH FAMOUS LANDMARK IN SRI LANKA|SIGIRIYA IS A MUST-SEE.
WHAT IS THE BEST LOCAL FOOD TO TRY IN {CITY}?|TRY THE TACOS DOWNTOWN. THEY'RE AMAZING.
WHICH FAMOUS LANDMARK IN IRELAND|THE CLIFFS OF MOHER! THEY ARE ICONIC.
DESCRIBE A STORY IN THE FAMILY-FRIENDLY SETTING.|A BRAVE LITTLE SQUIRREL SAVES ITS ACORN STASH.
SUGGEST A RECIPE FOR A PHOTOGRAPHY DISH.|TRY A VIBRANT LAYERED SALAD.
SUGGEST A RECIPE FOR A BUTTERFLIES DISH.|TRY BUTTERFLY-SHAPED COOKIES!
EXPLAIN HOW TO RECORD A CAT.|USE YOUR PHONE OR CAMERA. KEEP IT QUIET AND SLOW.
SUGGEST A RECIPE FOR A MOVIES DISH.|POPCORN IS ALWAYS A WINNER.
SUGGEST A RECIPE FOR A DANCING DISH.|HOW ABOUT A JITTERY SHRIMP COCKTAIL?
EXPLAIN HOW TO HANDLE A PLANT.|WATER IT WHEN SOIL IS DRY, GIVE IT LIGHT, AND TREAT IT NICELY!
HOW DOES ONE CELEBRATE MOVIE NIGHT IN PORTUGAL?|GRAB SOME CHEESE AND WINE. ENJOY!
HOW DOES ONE CELEBRATE QUIET MORNING IN VIETNAM?|COFFEE AND A SLOW WALK SOUND PERFECT.
HOW DOES ONE CELEBRATE BIRTHDAY IN BANGLADESH?|PEOPLE HAVE PARTIES, CAKE, AND GIFTS!
WRITE A SHORT POEM ABOUT HAT.|A CROWN UPON THE HEAD,WHERE STORIES OFTEN SPREAD.
COMPARE AND CONTRAST TWO ORIGAMI STYLES.|MODULAR VS. TRADITIONAL ARE COOL.
WRITE A SHORT POEM ABOUT PLANT.|GREEN SHOOTS REACH FOR LIGHT,LIFE UNFURLS SO BRIGHT.
COMPARE AND CONTRAST TWO DOGS STYLES.|GOLDEN RETRIEVERS ARE GENTLE, WHILE HUSKIES ARE WILD.
CREATE A DIALOGUE BETWEEN A COMMUNITY AND A SINGING.|FOLKS SING SONGS TOGETHER.
COMPARE AND CONTRAST TWO THUNDER STYLES.|THEY DIFFER IN INTENSITY AND SOUND, BUT BOTH USE LOUD NOISES TO SIGNAL WEATHER CHANGES.
GIVE ME A LIST OF FACTS ABOUT TRACK-RELATED THINGS.|SURE! LAP TIMES, TRACK SURFACE, RACE DISTANCES, ETC.
GIVE ME A LIST OF FACTS ABOUT RECORD-RELATED THINGS.|VINYL HAS GROOVES. RECORDS SPIN ON TURNTABLES. THEY HOLD MUSIC.
RECOMMEND A BOOK IN THE HISTORICAL GENRE.|THE NIGHTINGALE BY KRISTIN HANNAH IS GREAT.
CREATE A DIALOGUE BETWEEN A CARD AND A CURIOSITY.|CARD: "WHAT ARE YOU?"CURIOSITY: "A QUESTION.
WHAT ARE THE CULTURAL NORMS FOR GIRLS NIGHT IN MOROCCO?|USUALLY MODEST DRESS AND ENJOYING TEA.
RECOMMEND A BOOK IN THE ACTION GENRE.|TRY "THE MARTIAN." IT'S GRIPPING STUFF.
RECOMMEND A BOOK IN THE DARK GENRE.|TRY 'THE HAUNTING OF HILL HOUSE'. GREAT ONE.
HOW DOES WRAP IN THE CONTEXT OF TRADITIONS?|IT'S ABOUT CULTURAL CUSTOMS AND RITUALS.
CREATE A DIALOGUE BETWEEN A HABIT AND A MINIMALISM.|HABIT: "JUST KEEP DOING IT."MINIMALISM: "BUT WHY SO MUCH?
RECOMMEND A BOOK IN THE NOIR GENRE.|YOU SHOULD DEFINITELY CHECK OUT *THE BIG SLEEP*. IT'S A CLASSIC FOR A REASON.
WHAT ARE THE CULTURAL NORMS FOR NEW YEAR IN JAPAN?|NEW YEAR'S IS BIG! LOTS OF TRADITIONS.
WHAT ARE THE CULTURAL NORMS FOR LAZY WEEKEND IN ICELAND?|PAJAMAS AND COFFEE ARE KEY. EMBRACING NATURE IS THE VIBE.
HOW DOES IMPROVE IN THE CONTEXT OF SUNSETS?|COLORS INTENSIFY, CLOUDS CATCH THE LIGHT.
WHAT ARE THE MAIN CHARACTERISTICS OF ACTION?|INTENTIONAL MOVEMENT AND PURPOSE.
WHAT ARE THE MAIN CHARACTERISTICS OF SCIENCE FICTION?|SPECULATIVE IDEAS, FUTURE SETTINGS, AND IMAGINATIVE WORLDS.
WHAT ARE THE MAIN CHARACTERISTICS OF HORROR?|FEAR, SUSPENSE, AND THE MACABRE ARE KEY.
WHICH CARD IS THE MOST POPULAR RIGHT NOW?|IT VARIES BY PLATFORM!
WHAT ARE THE MAIN CHARACTERISTICS OF MUSICAL?|RHYTHM, MELODY, HARMONY, AND TIMBRE DEFINE MUSIC.
WHICH GARDEN IS THE MOST POPULAR RIGHT NOW?|THE LOCAL BOTANICAL PARK IS HUGE.
WHICH APP IS THE MOST POPULAR RIGHT NOW?|TIKTOK IS PRETTY HUGE LATELY.
WHAT ARE SOME TIPS FOR PLANNING A TRIP TO PORTUGAL?|BOOK EARLY, FOCUS ON REGIONS, AND PACK LAYERS.
WHICH TRADITION IS THE MOST POPULAR RIGHT NOW?|DEPENDS ON WHERE YOU ARE.
WHAT ARE SOME TIPS FOR PLANNING A TRIP TO INDIA?|PACK LIGHT, LEARN BASIC PHRASES, AND BE FLEXIBLE.
WHAT ARE SOME TIPS FOR PLANNING A TRIP TO ETHIOPIA?|CHECK VISA NEEDS AND BOOK FLIGHTS EARLY. ENJOY THE CULTURE!
WHAT ARE SOME TIPS FOR PLANNING A TRIP TO KENYA?|BOOK SAFARI EARLY! PACK LIGHT, AND GET VACCINATIONS SORTED.
WHAT SHOULD I WEAR FOR AN LAZY WEEKEND?|COMFY SWEATS ARE PERFECT!
CAN YOU EXPLAIN THE CONCEPT OF MOVIES SIMPLY?|IT'S JUST A MOVING PICTURE STORY.
WHAT SHOULD I WEAR FOR AN BIRTHDAY?|IT DEPENDS ON THE VIBE OF THE PARTY!
CAN YOU EXPLAIN THE CONCEPT OF CULTURE SIMPLY?|IT'S SHARED BELIEFS, CUSTOMS, AND BEHAVIORS.
CAN YOU EXPLAIN THE CONCEPT OF COOKING SIMPLY?|IT'S CHANGING RAW STUFF INTO FOOD!
WHAT SHOULD I WEAR FOR AN MOVIE NIGHT?|COMFY SWEATS ARE ALWAYS A GOOD CALL.
WHAT SHOULD I WEAR FOR AN PARTY?|IT DEPENDS ON THE VIBE OF THE PARTY!
WHAT SHOULD I WEAR FOR AN COSY EVENING?|SOMETHING SUPER COMFY! FLEECE OR SOFT KNITS WORK GREAT.
WHO IS THE MOST INFLUENTIAL BACKPACK IN MODERN ART?|THAT'S TOUGH! MAYBE WARHOL?
GIVE ME THREE IDEAS FOR AN AFTERNOON ACTIVITY ON A SUNNY LONG FLIGHT.|READ A BOOK, WATCH MOVIES, OR PLAY GAMES.
WHO IS THE MOST INFLUENTIAL CANDLE IN MODERN ART?|THAT'D BE HARD TO SAY FOR SURE.
WHAT IS THE BEST SET UP FOR A SPORTS?|DEPENDS ON THE SPORT!
WHAT IS THE BEST REVIEW FOR A FISHING?|DEPENDS ON WHAT YOU LIKE!
WHO IS THE MOST INFLUENTIAL VIDEO IN MODERN ART?|THAT'S SUPER DEBATABLE! MANY STRONG CONTENDERS THERE.
HOW CAN I IMPROVE MY SKILLS IN {|FOCUS ON PRACTICE AND LEARNING NEW THINGS.
CAN YOU SUGGEST A THRILLER MOVIE SET IN CUBA?|TRY *MIAMI VICE* ERA STUFF!
WHAT ARE THE PROS AND CONS OF ASTRONOMY?|DEEP UNDERSTANDING OF THE UNIVERSE VS. IT CAN BE HARD TO SEE.
WHAT ARE THE PROS AND CONS OF YOGA?|BETTER FLEXIBILITY AND STRESS RELIEF, BUT SOME POSES CAN BE HARD.
WHAT ARE THE PROS AND CONS OF MINIMALISM?|LESS STUFF, LESS STRESS IS A PRO. CAN BE RESTRICTIVE TOO.
GIVE ME SOME TIPS TO IMPROVE AT DREAMS.|TRY LUCID DREAMING TECHNIQUES. IT HELPS A LOT.
TELL ME ABOUT THE HISTORY OF TRADITIONS.|THEY EVOLVE OVER TIME, PASSED DOWN THROUGH GENERATIONS.
WHAT ARE SOME POPULAR TABLE IN SCOTLAND?|OAK AND PINE ARE SUPER POPULAR.
CAN YOU SUGGEST A FAMILY-FRIENDLY MOVIE SET IN SRI LANKA?|TRY "THE SECRETS OF SERENDIB." IT'S GREAT FOR ALL AGES.
WHAT ARE SOME POPULAR INSTRUMENT IN PORTUGAL?|CAVAQUINHO AND ACCORDION ARE BIG ONES.
I WANT TO LEARN MORE ABOUT ROAD TRIPS.|ROAD TRIPS ARE AWESOME! WHAT INTERESTS YOU MOST?
I WANT TO LEARN MORE ABOUT POTTERY.|IT'S A FUN CRAFT! WHERE SHOULD WE START?
I WANT TO LEARN MORE ABOUT ISLANDS.|ISLANDS ARE WILD! WHAT INTERESTS YOU?
WHAT IS A GOOD GIFT IDEA FOR AN SUMMER AFTERNOON?|A PICNIC OR OUTDOOR GAME.
WHAT IS A GOOD GIFT IDEA FOR AN HOLIDAY?|A COZY BLANKET OR NICE CANDLES!
CAN YOU HELP ME WRITE A POEM ABOUT CREATIVITY?|SURE, I CAN HELP WITH THAT!
WHAT IS A GOOD GIFT IDEA FOR AN PARTY?|A FUN BOARD GAME WORKS EVERY TIME!
WHAT IS A GOOD GIFT IDEA FOR AN GIRLS NIGHT?|FACE MASKS OR CUTE PAJAMAS ARE ALWAYS WINNERS.
WHAT IS A GOOD GIFT IDEA FOR AN BOOK CLUB?|A COZY BLANKET OR SOME NICE GOURMET SNACKS WORK WELL.
CAN YOU HELP ME WRITE A POEM ABOUT ISLANDS?|SURE! I CAN HELP WITH THAT.
CAN YOU HELP ME WRITE A POEM ABOUT SUNSETS?|SURE, I CAN TOTALLY DO THAT FOR YOU.
CAN YOU HELP ME WRITE A POEM ABOUT HAPPINESS?|SURE, I CAN HELP WITH THAT!
RECOMMEND A HANDLE PLACE TO VISIT IN TURKEY.|CAPPADOCIA IS ALWAYS A GREAT PICK.
CAN YOU HELP ME WRITE A POEM ABOUT THUNDER?|I CAN TOTALLY HELP WITH THAT! WHAT KIND OF VIBE ARE YOU GOING FOR?
WHAT ARE THE MAIN THEMES IN SCIENCE FICTION LITERATURE?|BIG IDEAS LIKE TECH, FUTURE SOCIETIES, AND HUMANITY ARE COMMON.
RECOMMEND A PREPARE PLACE TO VISIT IN BANGLADESH.|TRY COX'S BAZAR FOR THE BEACHES.
RECOMMEND A UNDERSTAND PLACE TO VISIT IN CHILE.|VALPARAISO IS A COOL SPOT!
RECOMMEND A UPGRADE PLACE TO VISIT IN NEW ZEALAND.|QUEENSTOWN IS AWESOME! GREAT SCENERY.
WHAT ARE THE MAIN THEMES IN FANTASY LITERATURE?|GOOD VS. EVIL, QUESTS, AND MAGIC ARE BIG ONES.
HOW CAN I START LEARNING PUZZLES?|JUST PICK ONE AND GIVE IT A SHOT!
HOW CAN I START LEARNING SPRING?|START WITH TUTORIALS AND BUILD SMALL PROJECTS FIRST.
WRITE A SHORT STORY SET IN SOUTH KOREA.|SURE, I CAN DO THAT.
WRITE A SHORT STORY SET IN TANZANIA.|SURE THING! THE SERENGETI WAITS.
DESCRIBE A PERFECT DAY FOR A {PERSON TYPE}.|A PERFECT DAY FOR YOU IS X.
TELL ME A FASCINATING FACT ABOUT {SUBJECT}.|OCTOPUSES HAVE THREE HEARTS!
ACT AS A TRAVEL AGENT PLANNING A TRIP TO {PLACE}.|WHERE TO? I CAN HELP WITH THAT.
COMPARE AND CONTRAST {THING 1} AND {THING 2}.|THEY SHARE SOME SIMILARITIES BUT ALSO HAVE QUITE A FEW DISTINCT DIFFERENCES.
TELL ME A FUN FACT ABOUT SLEEP.|DREAMS ARE OFTEN YOUR BRAIN SORTING THROUGH THE DAY.
TELL ME A FUN FACT ABOUT PUZZLES.|SOME SUDOKU PUZZLES HAVE ONLY ONE SOLUTION!
GENERATE A RECIPE USING {INGREDIENT}.|I CAN WHIP UP SOMETHING DELICIOUS WITH THAT INGREDIENT FOR YOU. WHAT ARE WE COOKING WITH?
WHAT IS THE HISTORY OF KINDNESS?|IT'S BEEN AROUND FOREVER, WOVEN INTO HUMAN NATURE.
WRITE A POEM ABOUT THE BEAUTY OF {NATURE}.|I CAN DEFINITELY DO THAT FOR YOU. WHICH NATURAL THING SHOULD I WRITE ABOUT?
TELL ME A FUN FACT ABOUT CATS.|CATS CAN PURR UP TO 24 HOURS A DAY!
SUGGEST A HEALTHY COMBINE ROUTINE FOR PAINTING.|HYDRATE WELL AND TAKE BREAKS.
WHAT IS THE HISTORY OF SCIENCE?|IT'S A LONG JOURNEY FROM ANCIENT OBSERVATIONS TO MODERN DISCOVERY.
SUGGEST A HEALTHY PRACTISE ROUTINE FOR SPACE.|STAY ACTIVE, STRETCH DAILY, HYDRATE OFTEN.
SUGGEST A HEALTHY CARRY ROUTINE FOR RAINBOWS.|KEEP THEM BRIGHT WITH GENTLE CARE!
WHAT ARE SOME INTERESTING PLACES TO VISIT IN SWEDEN?|GOT SUGGESTIONS FOR YOU! STOCKHOLM IS AWESOME.
RECOMMEND A GOOD FANTASY BOOK SET IN FISHING.|TRY "THE FISHERMAN" BY JOHN LANGAN!
WHAT ARE SOME INTERESTING PLACES TO VISIT IN INDIA?|TAJ MAHAL IS ALWAYS AMAZING. ALSO, KERALA HAS BEAUTIFUL BEACHES.
SUGGEST A HEALTHY PERSONALISE ROUTINE FOR SEASONS.|SPICE UP YOUR MEALS SEASONALLY! FRESH PRODUCE AND LIGHT EXERCISE ARE KEY.
RECOMMEND A GOOD ANIMATED BOOK SET IN DESERTS.|THE MAGIC OF OZ" IS FUN!
WHAT ARE SOME INTERESTING PLACES TO VISIT IN EGYPT?|GIZA IS GREAT! LUXOR AND THE RED SEA ARE COOL TOO.
GIVE ME TIPS ON HOW TO TRAIN EFFECTIVELY.|FOCUS ON CONSISTENCY AND SMART REST.
GIVE ME TIPS ON HOW TO CARRY EFFECTIVELY.|KEEP IT CLOSE AND BALANCED.
GIVE ME TIPS ON HOW TO ARRANGE EFFECTIVELY.|USE A PLAN OR OUTLINE TO STAY ORGANIZED.
GIVE ME TIPS ON HOW TO SORT EFFECTIVELY.|CHECK YOUR GOALS FIRST. GROUP SIMILAR THINGS. THEN REFINE!
COMPARE AND CONTRAST|I CAN DO THAT. WHAT TOPICS?
DESIGN A PERFECT VACATION ITINERARY TO SOUTH AFRICA FOR A {DURATION}.|DEPENDS ON HOW LONG YOU HAVE!
WHAT'S THE BEST WAY TO HANDLE A DISAGREEMENT WITH {PERSON_TYPE}?|JUST LISTEN FIRST, THEN STATE YOUR VIEW CALMLY.
DESCRIBE A FICTIONAL WORLD WHERE COFFEE IS THE PRIMARY SOURCE OF ENERGY.|A WORLD POWERED BY BEAN EXTRACTS.
DESIGN A PERFECT VACATION ITINERARY TO KENYA FOR A {DURATION}.|I NEED THE TRIP LENGTH TO HELP!
DESIGN A PERFECT VACATION ITINERARY TO EGYPT FOR A {DURATION}.|NEED TO KNOW THE TRIP LENGTH FIRST!
HOW DO I COOK A DELICIOUS {DISH} RECIPE?|I CAN GIVE YOU A GREAT RECIPE FOR THAT! WHAT KIND OF DISH ARE WE TALKING ABOUT?
DESIGN A PERFECT VACATION ITINERARY TO NORWAY FOR A {DURATION}.|NEED TRIP LENGTH FIRST! WHAT ARE YOU THINKING?
DESCRIBE A FICTIONAL WORLD WHERE HIKING IS THE PRIMARY SOURCE OF ENERGY.|A REALM WHERE MOUNTAINS FUEL EVERY SPARK.
WRITE A SHORT STORY FEATURING A CHARACTER WHO SORT IN A CITY LIKE {CITY}.|A TINY LIFE IN BUSTLING PARIS.
WRITE A SHORT STORY FEATURING A CHARACTER WHO DESIGN IN A CITY LIKE {CITY}.|A DESIGNER IN TOKYO FOUND INSPIRATION IN NEON RAIN.
COMPARE AND CONTRAST TWO DIFFERENT TYPES OF SUSPENSEFUL MOVIES.|PSYCHOLOGICAL VERSUS THRILLER STYLES DIFFER BIG TIME.
WRITE A SHORT STORY FEATURING A CHARACTER WHO HANDLE IN A CITY LIKE {CITY}.|SURE, HERE'S A PIECE ABOUT SOMEONE IN NEW YORK CITY.
WHAT ARE SOME UNIQUE CULTURAL TRADITIONS IN SWEDEN?|MIDSOMMAR FESTIVALS ARE REALLY FUN.
WHAT ARE SOME UNIQUE CULTURAL TRADITIONS IN EGYPT?|THEY HAVE REALLY RICH FESTIVALS AND ANCIENT CUSTOMS.
WHAT ARE SOME UNIQUE CULTURAL TRADITIONS IN BELGIUM?|THEY HAVE COOL FESTIVALS AND REGIONAL CUSTOMS.
RECOMMEND A BOOK IN THE DOCUMENTARY GENRE SET IN|ANY TIME PERIOD?
RECOMMEND A BOOK IN THE MYSTERY GENRE SET IN|TELL ME WHERE!
WHAT IS THE MOST FAMOUS LANDMARK IN {CITY}?|THE EIFFEL TOWER IS SUPER WELL KNOWN.
GIVE ME RECIPE IDEAS USING {INGREDIENT}.|WHAT'S IN YOUR KITCHEN? I CAN WHIP UP SOME TASTY IDEAS FOR YOU.
DESCRIBE WHAT IT WOULD BE LIKE TO LIVE IN FRANCE.|CHARMING CAFES AND BEAUTIFUL SCENERY.
DESCRIBE WHAT IT WOULD BE LIKE TO LIVE IN AUSTRALIA.|WARM WEATHER, BEAUTIFUL BEACHES, UNIQUE WILDLIFE.
RECOMMEND A BOOK IN THE FEEL-GOOD FOR SEASONS.|TRY "THE HOUSE IN THE CERULEAN SEA.
DESCRIBE WHAT IT WOULD BE LIKE TO LIVE IN SWEDEN.|SUPER COZY WITH LOTS OF NATURE AND GOOD BENEFITS.
RECOMMEND A BOOK IN THE FAMILY-FRIENDLY FOR TEA.|TRY "THE HOUSE IN THE CERULEAN SEA." IT'S LOVELY!
HOW CAN I IMPROVE MY SKILL IN MOVIES?|WATCH MORE MOVIES AND ANALYZE THEM!
WHAT IS A GOOD GIFT FOR A FRIEND ON GIRLS NIGHT?|CANDLE, FACE MASK, OR COZY SOCKS WORK!
HOW CAN I IMPROVE MY SKILL IN YOGA?|PRACTICE CONSISTENTLY, THEN EXPLORE DIFFERENT STYLES.
HOW CAN I IMPROVE MY SKILL IN BAKING?|PRACTICE MORE! READ RECIPES CAREFULLY. EXPERIMENT WITH NEW THINGS.
GIVE ME A SHORT STORY ABOUT A CAKE.|A SPONGE DREAMS OF FROSTING.
GIVE ME A SHORT STORY ABOUT A HABIT.|THE MORNING COFFEE RITUAL CHANGED EVERYTHING.
HELP ME PLAN A FUN TRIP TO SINGAPORE.|AWESOME! LET'S BRAINSTORM SOME COOL SPOTS.
GIVE ME A SHORT STORY ABOUT A APP.|A TINY APP FELT LIKE IT HELD ALL THE ANSWERS.
WHAT ARE SOME GOOD WAYS TO RELAX AFTER WORK?|TAKE A WALK OR LISTEN TO MUSIC.
TELL ME A JOKE RELATED TO GARDENING.|WHY DID THE TOMATO BLUSH? IT SAW THE SALAD!
TELL ME A JOKE RELATED TO CAMPING.|WHY DID THE BEAR GET LOST? HE WAS OFF THE SCENT.
DESCRIBE A PERFECT DAY INVOLVING PHOTOGRAPH.|GOLDEN HOUR SHOTS OF A PEACEFUL HIKE.
TELL ME A JOKE RELATED TO COFFEE.|WHY DID THE COFFEE QUIT ITS JOB?IT NEEDED TO BREW SOME PEACE.
DESCRIBE A PERFECT DAY INVOLVING ENJOY.|SUNSHINE, GOOD FOOD, AND ZERO STRESS.
DESCRIBE A PERFECT DAY INVOLVING MIX.|SUNSHINE, BEACH, GOOD FRIENDS, PERFECT VIBES.
WRITE A POEM ABOUT MINIMALISM.|LESS STUFF, MORE LIFE.SIMPLE JOYS START TO SHINE.
WRITE A POEM ABOUT GRATITUDE.|LITTLE JOYS, BIG THANKS,A THANKFUL HEART TRULY BANKS.
TELL ME A JOKE RELATED TO SLEEP.|WHY DID THE SCARECROW GET KICKED OUT OF BED? BECAUSE HE KEPT HAVING NIGHT TERRORS!
WRITE A POEM ABOUT SINGING.|NOTES TAKE FLIGHT, A JOYFUL SOUND,WHERE MELODIES CAN BE FOUND.
TELL ME A HISTORICAL FACT ABOUT CUBA.|IT WAS A MAJOR SUGAR PRODUCER FOR CENTURIES.
TELL ME A HISTORICAL FACT ABOUT TURKEY.|THE HITTITES WERE A MAJOR POWER THERE LONG AGO.
DESCRIBE A PERFECT DAY INVOLVING PRACTISE.|SUNSHINE, GOOD COFFEE, FOCUSED DRILLS, AND FEELING GOOD AFTER.
TELL ME A HISTORICAL FACT ABOUT GREECE.|THE PARTHENON WAS BUILT IN ANCIENT ATHENS.
GIVE ME ADVICE FOR BOOK CLUB.|TRY THEMED MEETINGS.
TELL ME A HISTORICAL FACT ABOUT CHILE.|IT WAS A MAJOR COPPER PRODUCER FOR DECADES.
WRITE A POEM ABOUT MODERN DESIGN.|CLEAN LINES TAKE FLIGHT,MINIMALISM SHINING BRIGHT,FUNCTION MEETS STYLE, A MODERN SIGHT.
GIVE ME ADVICE FOR MOVIE NIGHT.|PICK A GENRE AND COZY UP!
GENERATE A SHORT SCENE IN THE CONTEMPORARY SETTING.|SURE, HERE'S ONE FOR YOU.
GIVE ME ADVICE FOR SUMMER AFTERNOON.|CHILL OUTSIDE OR HIT THE POOL.
WHAT IS THE BEST BALCONY YOU KNOW?|THE ONE WITH A SUNSET VIEW!
GENERATE A SHORT SCENE IN THE DRAMA SETTING.|LIGHTS DIM. RAIN HITS THE STAGE. A TENSE SILENCE.
WHAT IS THE BEST CAMERA YOU KNOW?|IT DEPENDS ON WHAT YOU WANT TO SHOOT.
WHAT IS THE BEST BEDROOM YOU KNOW?|A COZY ONE WITH BIG WINDOWS.
GENERATE A SHORT SCENE IN THE ROMANCE SETTING.|RAIN SPLATTERS ON THE WINDOW. HE FINDS HER BENEATH IT.
IMAGINE A CONVERSATION BETWEEN WRITING AND VIDEO.|A POET MEETS A DIRECTOR.
COMPARE AND CONTRAST PHOTOGRAPHY AND JOURNAL.|PHOTOS CAPTURE MOMENTS; JOURNALS CAPTURE THOUGHTS.
GIVE ME ADVICE FOR RAINY DAY.|GET COZY INSIDE! TRY READING A GOOD BOOK OR BAKING SOMETHING WARM.
IMAGINE A CONVERSATION BETWEEN KNITTING AND ROUTINE.|COZY RHYTHM MEETS STEADY HABIT.
IMAGINE A CONVERSATION BETWEEN MARKETS AND DOG.|WOOF, STOCK PRICES LOOK JUICY!
COMPARE AND CONTRAST MEDITATION AND RECIPE.|DIFFERENT BUT BOTH GUIDE YOU. ONE INWARD, ONE OUTWARD.
IMAGINE A CONVERSATION BETWEEN PHOTOGRAPHY AND FRIENDSHIP.|A SHARED LENS ON LIFE'S BEST MOMENTS.
COMPARE AND CONTRAST DOGS AND BOARD GAME.|BOTH ARE FUN, BUT ONE BARKS, THE OTHER PIECES MOVE.
GIVE ME ADVICE FOR GIRLS NIGHT.|SET UP SOME FUN ACTIVITIES OR JUST MAKE IT A CHILL NIGHT WITH GOOD SNACKS AND MUSIC.
COMPARE AND CONTRAST VILLAGES AND VIDEO.|THEY'RE BOTH SMALL GROUPS, BUT ONE'S PHYSICAL, THE OTHER DIGITAL.
SUGGEST A TRAVEL ITINERARY FOR COLOMBIA FOCUSING ON SINGING.|HOW ABOUT A MUSIC TOUR? CARTAGENA, BOGOT, MEDELLN!
WHAT ARE SOME GOOD GIFT IDEAS FOR A CELEBRATION?|DEPENDS ON WHO IT IS!
WRITE A SHORT DIALOGUE SET DURING A PARTY.|THIS MUSIC IS GREAT." "TOTALLY AGREE.
GIVE ME A FICTIONAL RECIPE USING SKILL.|GLAZED WITH PURE TALENT, SERVED HOT.
WHAT ARE SOME GOOD GIFT IDEAS FOR A FAMILY GATHERING?|HOMEMADE TREATS ARE ALWAYS A HIT!
GIVE ME A FICTIONAL RECIPE USING CAKE.|RAINBOW CLOUD CAKE BITES! MIX BATTER WITH EDIBLE GLITTER.
WRITE A SHORT DIALOGUE SET DURING A GIRLS NIGHT.|BESTIE, WINE TIME!" "SERIOUSLY, THIS IS THE LIFE.
HOW CAN I IMPROVE MY {SKILL}?|PRACTICE DAILY! FOCUS ON SMALL WINS.
WHAT ARE SOME GOOD GIFT IDEAS FOR A LONG FLIGHT?|NOISE-CANCELING HEADPHONES ARE AWESOME. OR MAYBE A COZY EYE MASK.
WHAT ARE SOME GOOD GIFT IDEAS FOR A SUMMER AFTERNOON?|COOL DRINKS, BEACH GEAR, OR A FUN OUTDOOR GAME WORK WELL.
WHAT'S THE BEST WAY TO LEARN GRATITUDE?|KEEP A GRATITUDE JOURNAL. IT REALLY WORKS.
TELL ME A SHORT STORY SET IN COLOMBIA.|A TINY COFFEE FARM NESTLED IN THE HILLS. SUNSHINE EVERYWHERE.
WHAT'S THE BEST WAY TO LEARN CHESS?|START WITH THE BASICS AND PLAY!
SUGGEST A FUN ACTIVITY FOR A {GROUP SIZE} ON {DAY OF WEEK}.|PICNIC SOUNDS GREAT FOR A SMALL GROUP!
WHAT ARE THE KEY CHARACTERISTICS OF {CONCEPT}?|TELL ME WHAT CONCEPT YOU MEAN!
TELL ME A SHORT STORY SET IN INDIA.|A SPICE VENDOR'S MORNING HUSTLE IN JAIPUR. SUNLIGHT WARMED HIS STALL.
